Question,Model,BERT Precision,BERT Recall,BERT F1,Rouge Precision,Rouge Recall,Rouge F1
Summarise the Superfast Broadband Programme,mistral.mistral-large-2402-v1:0,0.8832510113716125,0.8049846887588501,0.8423036336898804,0.7142857142857143,0.2177858439201452,0.3337969401947149
Summarise the Superfast Broadband Programme,mistral.mistral-7b-instruct-v0:2,0.8939034342765808,0.8110384345054626,0.8504572510719299,0.5038167938931297,0.11978221415607986,0.19354838709677422
Summarise the Superfast Broadband Programme,mistral.mixtral-8x7b-instruct-v0:1,0.8890001773834229,0.785193681716919,0.833878755569458,0.6724137931034483,0.07078039927404718,0.12807881773399013
Summarise the Superfast Broadband Programme,gemini-2.0-flash-lite-preview-02-05,0.9064562320709229,0.7941361665725708,0.8465870022773743,0.9024390243902439,0.13430127041742287,0.23380726698262244
Summarise the Superfast Broadband Programme,gemini-1.5-flash,0.879936933517456,0.8171998858451843,0.8474088311195374,0.5655737704918032,0.12522686025408347,0.20505200594353637
Summarise the Superfast Broadband Programme,gemini-1.5-flash-8b,0.8796204328536987,0.812351405620575,0.8446486592292786,0.5360824742268041,0.09437386569872959,0.16049382716049382
Summarise the Superfast Broadband Programme,gemini-1.5-pro,0.881158709526062,0.8220779895782471,0.8505936861038208,0.5299145299145299,0.11252268602540835,0.18562874251497005
Summarise the Superfast Broadband Programme,grok-2-vision-1212,0.8614177703857422,0.8274103999137878,0.8440716862678528,0.43283582089552236,0.15789473684210525,0.23138297872340427
Summarise the Superfast Broadband Programme,grok-2-1212,0.8632274866104126,0.8428584933280945,0.8529214262962341,0.3771043771043771,0.20326678765880218,0.2641509433962264
Summarise the role of BDUK,gpt-4o-2024-08-06,0.8563588261604309,0.7862878441810608,0.8198288083076477,0.3695652173913043,0.12142857142857143,0.1827956989247312
Summarise the role of BDUK,chatgpt-4o-latest,0.8437286615371704,0.7898145914077759,0.8158819675445557,0.27007299270072993,0.13214285714285715,0.1774580335731415
Summarise the role of BDUK,gpt-3.5-turbo-0125,0.8665059804916382,0.792232871055603,0.827706515789032,0.4,0.14285714285714285,0.21052631578947364
Summarise the role of BDUK,anthropic.claude-3-sonnet-20240229-v1:0,0.8342063426971436,0.7881371974945068,0.8105176687240601,0.1925133689839572,0.12857142857142856,0.15417558886509636
Summarise the role of BDUK,anthropic.claude-3-haiku-20240307-v1:0,0.8666716814041138,0.8226119875907898,0.8440672755241394,0.3721973094170404,0.29642857142857143,0.33001988071570576
Summarise the role of BDUK,meta.llama3-70b-instruct-v1:0,0.8235072493553162,0.7852530479431152,0.8039252758026123,0.20765027322404372,0.1357142857142857,0.16414686825053995
Summarise the role of BDUK,meta.llama3-8b-instruct-v1:0,0.8492739200592041,0.7882716059684753,0.8176364898681641,0.2676056338028169,0.1357142857142857,0.18009478672985782
Summarise the role of BDUK,mistral.mistral-large-2402-v1:0,0.861986517906189,0.8131566047668457,0.8368598818778992,0.3776824034334764,0.3142857142857143,0.34307992202729043
Summarise the role of BDUK,mistral.mistral-7b-instruct-v0:2,0.8706047534942627,0.7939618825912476,0.830518901348114,0.35344827586206895,0.14642857142857144,0.20707070707070707
Summarise the role of BDUK,mistral.mixtral-8x7b-instruct-v0:1,0.8835510015487671,0.8055903911590576,0.842771589756012,0.47619047619047616,0.17857142857142858,0.2597402597402597
Summarise the role of BDUK,gemini-2.0-flash-lite-preview-02-05,0.8559012413024902,0.7580779194831848,0.8040250539779663,0.4,0.04285714285714286,0.07741935483870968
Summarise the role of BDUK,gemini-1.5-flash,0.8383122682571411,0.8073217272758484,0.8225252628326416,0.28,0.15,0.19534883720930232
Summarise the role of BDUK,gemini-1.5-flash-8b,0.8767502903938293,0.7970191240310669,0.834985613822937,0.5230769230769231,0.12142857142857143,0.19710144927536233
Summarise the role of BDUK,gemini-1.5-pro,0.825942873954773,0.7971006631851196,0.8112654685974121,0.18446601941747573,0.1357142857142857,0.15637860082304528
Summarise the role of BDUK,grok-2-vision-1212,0.8453909158706665,0.8102529048919678,0.8274490237236023,0.22545454545454546,0.22142857142857142,0.22342342342342342
Summarise the role of BDUK,grok-2-1212,0.8404856324195862,0.8243271112442017,0.8323279023170471,0.23118279569892472,0.30714285714285716,0.26380368098159507
